Date : 2026-03-29 15:59:57
Directory : c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src
Total : 232 files,  23260 codes, 1285 comments, 7666 blanks, all 32211 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |        232 |     23,260 |      1,285 |      7,666 |     32,211 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                 |        232 |     23,260 |      1,285 |      7,666 |     32,211 |
| StarParty                                                                                                                                         |         21 |      1,377 |         25 |        326 |      1,728 |
| StarParty (Files)                                                                                                                                 |          5 |        839 |         15 |        168 |      1,022 |
| StarParty\Role                                                                                                                                    |         16 |        538 |         10 |        158 |        706 |
| WorldEditUtil                                                                                                                                     |          3 |        155 |          7 |         60 |        222 |
| fr                                                                                                                                                |        208 |     21,728 |      1,253 |      7,280 |     30,261 |
| fr\fitzche                                                                                                                                        |        208 |     21,728 |      1,253 |      7,280 |     30,261 |
| fr\fitzche\flagCapture                                                                                                                            |          4 |        341 |          2 |        116 |        459 |
| fr\fitzche\lgmore                                                                                                                                 |        204 |     21,387 |      1,251 |      7,164 |     29,802 |
| fr\fitzche\lgmore (Files)                                                                                                                         |          8 |      1,275 |         12 |        363 |      1,650 |
| fr\fitzche\lgmore\CharactUHC                                                                                                                      |          8 |      1,280 |         89 |        454 |      1,823 |
| fr\fitzche\lgmore\InfinityStones                                                                                                                  |          2 |         99 |          9 |         33 |        141 |
| fr\fitzche\lgmore\Lg                                                                                                                              |         15 |      2,280 |        120 |        711 |      3,111 |
| fr\fitzche\lgmore\Lg (Files)                                                                                                                      |          6 |      1,952 |         89 |        578 |      2,619 |
| fr\fitzche\lgmore\Lg\SpecialsBlock                                                                                                                |          9 |        328 |         31 |        133 |        492 |
| fr\fitzche\lgmore\Minage                                                                                                                          |          3 |        286 |          4 |        108 |        398 |
| fr\fitzche\lgmore\RolesLg                                                                                                                         |         84 |      8,362 |        650 |      3,018 |     12,030 |
| fr\fitzche\lgmore\RolesLg (Files)                                                                                                                 |         55 |      6,042 |        381 |      2,360 |      8,783 |
| fr\fitzche\lgmore\RolesLg\Checkers                                                                                                                |         27 |      2,119 |        269 |        615 |      3,003 |
| fr\fitzche\lgmore\RolesLg\Infections                                                                                                              |          2 |        201 |          0 |         43 |        244 |
| fr\fitzche\lgmore\Util                                                                                                                            |         18 |      1,387 |        111 |        428 |      1,926 |
| fr\fitzche\lgmore\bedwars                                                                                                                         |          7 |        541 |         30 |        175 |        746 |
| fr\fitzche\lgmore\clocktower                                                                                                                      |          7 |        287 |         67 |         88 |        442 |
| fr\fitzche\lgmore\commands                                                                                                                        |          8 |      2,058 |         13 |        504 |      2,575 |
| fr\fitzche\lgmore\custom                                                                                                                          |          7 |        413 |         13 |        141 |        567 |
| fr\fitzche\lgmore\minecraft                                                                                                                       |          4 |        460 |         27 |        208 |        695 |
| fr\fitzche\lgmore\scoreboard                                                                                                                      |         24 |      1,866 |         75 |        671 |      2,612 |
| fr\fitzche\lgmore\scoreboard (Files)                                                                                                              |          6 |        198 |         11 |         90 |        299 |
| fr\fitzche\lgmore\scoreboard\Inventory                                                                                                            |         18 |      1,668 |         64 |        581 |      2,313 |
| fr\fitzche\lgmore\settlerGame                                                                                                                     |          4 |        333 |         26 |        134 |        493 |
| fr\fitzche\lgmore\uhc_color                                                                                                                       |          5 |        460 |          5 |        128 |        593 |
| fr\fitzche\lgmore\uhc_color (Files)                                                                                                               |          2 |         99 |          0 |         39 |        138 |
| fr\fitzche\lgmore\uhc_color\Gui                                                                                                                   |          2 |        181 |          5 |         55 |        241 |
| fr\fitzche\lgmore\uhc_color\PlayerColorboard                                                                                                      |          1 |        180 |          0 |         34 |        214 |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
